main_term,path,full_term,level,type,value,code
3f (Aortic) Bioprosthesis valve,3f (Aortic) Bioprosthesis valve,3f (Aortic) Bioprosthesis valve,0,use,Zooplastic Tissue in Heart and Great Vessels,
3M(tm) V.A.C.(R) Therapy System,3M(tm) V.A.C.(R) Therapy System,3M(tm) V.A.C.(R) Therapy System,0,see,"Activities of Daily Living Treatment, Rehabilitation F08",
Abdominal aortic plexus,Abdominal aortic plexus,Abdominal aortic plexus,0,use,Abdominal Sympathetic Nerve,
Abdominal cavity,Abdominal cavity,Abdominal cavity,0,use,Peritoneal Cavity,
Abdominal esophagus,Abdominal esophagus,Abdominal esophagus,0,use,"Esophagus, Lower",
Abdominohysterectomy,Abdominohysterectomy,Abdominohysterectomy,0,see,"Resection, Uterus 0UT9",0UT9
Abdominoplasty,Abdominoplasty,Abdominoplasty,1,see,"Alteration, Abdominal Wall 0W0F",0W0F
Abdominoplasty,Abdominoplasty,Abdominoplasty,1,see,"Repair, Abdominal Wall 0WQF",0WQF
Abdominoplasty,Abdominoplasty,Abdominoplasty,1,see,"Supplement, Abdominal Wall 0WUF",0WUF
Abductor hallucis muscle,Abductor hallucis muscle,Abductor hallucis muscle,1,use,"Foot Muscle, Right",
Abductor hallucis muscle,Abductor hallucis muscle,Abductor hallucis muscle,1,use,"Foot Muscle, Left",
ABECMA(R),ABECMA(R),ABECMA(R),0,use,Idecabtagene Vicleucel Immunotherapy,
AbioCor(R) Total Replacement Heart,AbioCor(R) Total Replacement Heart,AbioCor(R) Total Replacement Heart,0,use,Synthetic Substitute,
Ablation,Ablation,Ablation,1,see,Control bleeding in,
Ablation,Ablation,Ablation,1,see,Destruction,
Ablation,Ablation,Ablation,1,see,Stereotactic Radiosurgery,
Abortion,Abortion > Products of Conception,Abortion > Products of Conception,1,codes,,10A0
Abortion,Abortion > Abortifacient,Abortion > Abortifacient,1,code,,10A07ZX
Abortion,Abortion > Laminaria,Abortion > Laminaria,1,code,,10A07ZW
Abortion,Abortion > Vacuum,Abortion > Vacuum,1,code,,10A07Z6
Abrasion,Abrasion,Abrasion,0,see,Extraction,
Absolute Pro Vascular (OTW) Self-Expanding Stent System,Absolute Pro Vascular (OTW) Self-Expanding Stent System,Absolute Pro Vascular (OTW) Self-Expanding Stent System,0,use,Intraluminal Device,
Accessory cephalic vein,Accessory cephalic vein,Accessory cephalic vein,1,use,"Cephalic Vein, Right",
Accessory cephalic vein,Accessory cephalic vein,Accessory cephalic vein,1,use,"Cephalic Vein, Left",
Accessory obturator nerve,Accessory obturator nerve,Accessory obturator nerve,0,use,Lumbar Plexus,
Accessory phrenic nerve,Accessory phrenic nerve,Accessory phrenic nerve,0,use,Phrenic Nerve,
Accessory spleen,Accessory spleen,Accessory spleen,0,use,Spleen,
