full_code,section,body_system,operation,operation_definition,body_part_code,body_part,approach_code,approach,device_code,device,qualifier_code,qualifier
0016070,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,0,Nasopharynx
0016071,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,1,Mastoid Sinus
0016072,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,2,Atrium
0016073,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,3,Blood Vessel
0016074,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,4,Pleural Cavity
0016075,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,5,Intestine
0016076,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,6,Peritoneal Cavity
0016077,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,7,Urinary Tract
0016078,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,8,Bone Marrow
001607A,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,A,Subgaleal Space
001607B,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,7,Autologous Tissue Substitute,B,Cerebral Cisterns
00160J0,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,0,Nasopharynx
00160J1,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,1,Mastoid Sinus
00160J2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,2,Atrium
00160J3,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,3,Blood Vessel
00160J4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,4,Pleural Cavity
00160J5,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,5,Intestine
00160J6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,6,Peritoneal Cavity
00160J7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,7,Urinary Tract
00160J8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,8,Bone Marrow
00160JA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,A,Subgaleal Space
00160JB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,J,Synthetic Substitute,B,Cerebral Cisterns
00160K0,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,0,Nasopharynx
00160K1,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,1,Mastoid Sinus
00160K2,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,2,Atrium
00160K3,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,3,Blood Vessel
00160K4,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,4,Pleural Cavity
00160K5,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,5,Intestine
00160K6,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,6,Peritoneal Cavity
00160K7,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,7,Urinary Tract
00160K8,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,8,Bone Marrow
00160KA,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,A,Subgaleal Space
00160KB,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,0,Open,K,Nonautologous Tissue Substitute,B,Cerebral Cisterns
0016370,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,0,Nasopharynx
0016371,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,1,Mastoid Sinus
0016372,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,2,Atrium
0016373,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,3,Blood Vessel
0016374,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,4,Pleural Cavity
0016375,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,5,Intestine
0016376,Medical and Surgical,Central Nervous System and Cranial Nerves,Bypass,Altering the route of passage of the contents of a tubular body part,6,Cerebral Ventricle,3,Percutaneous,7,Autologous Tissue Substitute,6,Peritoneal Cavity
